symbol,name
HAPPYFORGE,HAPPY FORGINGS LIMITED
METROPOLIS,METROPOLIS HEALTHCARE LIMITED
JKTYRE,JK TYRE & INDUSTRIES LIMITED
INOXINDIA,INOX INDIA LIMITED
CERA,CERA SANITARYWARE LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED
VESUVIUS,VESUVIUS INDIA LIMITED
QUESS,QUESS CORP LIMITED
PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED
BAJAJELEC,BAJAJ ELECTRICALS LIMITED
GRAPHITE,GRAPHITE INDIA LIMITED
PNCINFRA,PNC INFRATECH LIMITED
LEMONTREE,LEMON TREE HOTELS LIMITED
SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED
NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED
ISGEC,ISGEC HEAVY ENGINEERING LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED
RTNINDIA,RATTANINDIA ENTERPRISES LIMITED
SYMPHONY,SYMPHONY LIMITED
PURVA,PURAVANKARA LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
BIRLACORPN,BIRLA CORPORATION LIMITED
SAREGAMA,SAREGAMA INDIA LIMITED
DBREALTY,VALOR ESTATE LIMITED
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED
ARVIND,ARVIND LIMITED
THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED
SFL,SHEELA FOAM LIMITED
RELINFRA,RELIANCE INFRASTRUCTURE LIMITED
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED
EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED
HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED
PNGJL,P N GADGIL JEWELLERS LIMITED
FORCEMOT,FORCE MOTORS LIMITED
JUSTDIAL,JUST DIAL LIMITED
ROUTE,ROUTE MOBILE LIMITED
HGINFRA,H.G. INFRA ENGINEERING LIMITED
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED
RENUKA,SHREE RENUKA SUGARS LIMITED
VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED
SAMMAANCAP,SAMMAAN CAPITAL LIMITED
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED
AZAD,AZAD ENGINEERING LIMITED
ESABINDIA,ESAB INDIA LIMITED
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
TIPSMUSIC,TIPS MUSIC LIMITED
WABAG,VA TECH WABAG LIMITED
TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED
KNRCON,KNR CONSTRUCTIONS LIMITED
IIFLCAPS,IIFL CAPITAL SERVICES LIMITED
ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED
POWERMECH,POWER MECH PROJECTS LIMITED
CHOICEIN,CHOICE INTERNATIONAL LIMITED
AURIONPRO,AURIONPRO SOLUTIONS LIMITED
CCL,CCL PRODUCTS (INDIA) LIMITED
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED
SBFC,SBFC FINANCE LIMITED
PRSMJOHNSN,PRISM JOHNSON LIMITED
JLHL,JUPITER LIFE LINE HOSPITALS LIMITED
TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
ITDCEM,ITD CEMENTATION INDIA LIMITED
SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED
TIMETECHNO,TIME TECHNOPLAST LIMITED
SENCO,SENCO GOLD LIMITED
MASTEK,MASTEK LIMITED
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
BBOX,BLACK BOX LIMITED
RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED
CMSINFO,CMS INFO SYSTEMS LIMITED
RUSTOMJEE,KEYSTONE REALTORS LIMITED
MAXESTATES,MAX ESTATES LIMITED
VARROC,VARROC ENGINEERING LIMITED
PGHL,PROCTER & GAMBLE HEALTH LIMITED
MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED
HEG,HEG LIMITED
RELIGARE,RELIGARE ENTERPRISES LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED
SYRMA,SYRMA SGS TECHNOLOGY LIMITED
STARCEMENT,STAR CEMENT LIMITED
BLUEJET,BLUE JET HEALTHCARE LIMITED
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED
SANSERA,SANSERA ENGINEERING LIMITED
FDC,FDC LIMITED
JUNIPER,JUNIPER HOTELS LIMITED
MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED
GALLANTT,GALLANTT ISPAT LIMITED
KTKBANK,THE KARNATAKA BANK LIMITED
MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED
TCI,TRANSPORT CORPORATION OF INDIA LIMITED
TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED
GANESHHOUC,GANESH HOUSING CORPORATION LIMITED
ANURAS,ANUPAM RASAYAN INDIA LIMITED
GMRP&UI,GMR POWER AND URBAN INFRA LIMITED
SUNTECK,SUNTECK REALTY LIMITED
EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED
RTNPOWER,RATTANINDIA POWER LIMITED
MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED
RAJESHEXPO,RAJESH EXPORTS LIMITED
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED
EPIGRAL,EPIGRAL LIMITED
JKPAPER,JK PAPER LIMITED
SHOPERSTOP,SHOPPERS STOP LIMITED
INFIBEAM,INFIBEAM AVENUES LIMITED
EPL,EPL LIMITED
MOIL,MOIL LIMITED
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED
CHEMPLASTS,CHEMPLAST SANMAR LIMITED
SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED
EMIL,ELECTRONICS MART INDIA LIMITED
DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED
SHILPAMED,SHILPA MEDICARE LIMITED
INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED
PARADEEP,PARADEEP PHOSPHATES LIMITED
ETHOSLTD,ETHOS LIMITED
ICIL,INDO COUNT INDUSTRIES LIMITED
VMART,V-MART RETAIL LIMITED
LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED
WELENT,WELSPUN ENTERPRISES LIMITED
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED
DBL,DILIP BUILDCON LIMITED
MIDHANI,MISHRA DHATU NIGAM LIMITED
PDSL,PDS LIMITED
MANINFRA,MAN INFRACONSTRUCTION LIMITED
IFBIND,IFB INDUSTRIES LIMITED
TRANSRAILL,TRANSRAIL LIGHTING LIMITED
DHANUKA,DHANUKA AGRITECH LIMITED
TMB,TAMILNAD MERCANTILE BANK LIMITED
ORCHPHARMA,ORCHID PHARMA LIMITED
NAZARA,NAZARA TECHNOLOGIES LIMITED
RESPONIND,RESPONSIVE INDUSTRIES LIMITED
EMUDHRA,EMUDHRA LIMITED
ARVINDFASN,ARVIND FASHIONS LIMITED
DODLA,DODLA DAIRY LIMITED
SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED
BALUFORGE,BALU FORGE INDUSTRIES LIMITED
TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED
INDIGOPNTS,INDIGO PAINTS LIMITED
AJAXENGG,AJAX ENGINEERING LIMITED
SUPRAJIT,SUPRAJIT ENGINEERING LIMITED
BALAMINES,BALAJI AMINES LIMITED
GREENLAM,GREENLAM INDUSTRIES LIMITED
JINDWORLD,JINDAL WORLDWIDE LIMITED
SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED
UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED
GABRIEL,GABRIEL INDIA LIMITED
ASHOKA,ASHOKA BUILDCON LIMITED
VIPIND,VIP INDUSTRIES LIMITED
SURYAROSNI,SURYA ROSHNI LIMITED
BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED
KRBL,KRBL LIMITED
GOKEX,GOKALDAS EXPORTS LIMITED
SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED
ACUTAAS,ACUTAAS CHEMICALS LIMITED
NESCO,NESCO LIMITED
HNDFDS,HINDUSTAN FOODS LIMITED
ORIENTCEM,ORIENT CEMENT LIMITED
SOUTHBANK,THE SOUTH INDIAN BANK LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
TDPOWERSYS,TD POWER SYSTEMS LIMITED
EASEMYTRIP,EASY TRIP PLANNERS LIMITED
NIITMTS,NIIT LEARNING SYSTEMS LIMITED
BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED
RALLIS,RALLIS INDIA LIMITED
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED
CEIGALL,CEIGALL INDIA LIMITED
JAICORPLTD,JAI CORP LIMITED
VSTIND,VST INDUSTRIES LIMITED
NFL,NATIONAL FERTILIZERS LIMITED
STLTECH,STERLITE TECHNOLOGIES LIMITED
ICRA,ICRA LIMITED
ROLEXRINGS,ROLEX RINGS LIMITED
AVL,ADITYA VISION LIMITED
GOCOLORS,GO FASHION (INDIA) LIMITED
GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED
LUXIND,LUX INDUSTRIES LIMITED
PCJEWELLER,PC JEWELLER LIMITED
GMMPFAUDLR,GMM PFAUDLER LIMITED
GAEL,GUJARAT AMBUJA EXPORTS LIMITED
SHAREINDIA,SHARE INDIA SECURITIES LIMITED
IXIGO,LE TRAVENUES TECHNOLOGY LIMITED
AGI,AGI GREENPAC LIMITED
LLOYDSENT,LLOYDS ENTERPRISES LIMITED
PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED
PRICOLLTD,PRICOL LIMITED
GHCL,GHCL LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
JKIL,J.KUMAR INFRAPROJECTS LIMITED
ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED
TI,TILAKNAGAR INDUSTRIES LIMITED
HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED
DBCORP,D.B.CORP LIMITED
SIS,SIS LIMITED
GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED
RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED
PTC,PTC INDIA LIMITED
ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED
SHARDACROP,SHARDA CROPCHEM LIMITED
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED
AARTIPHARM,AARTI PHARMALABS LIMITED
RAIN,RAIN INDUSTRIES LIMITED
CSBBANK,CSB BANK LIMITED
CYIENTDLM,CYIENT DLM LIMITED
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED
BANCOINDIA,BANCO PRODUCTS (I) LIMITED
JSFB,JANA SMALL FINANCE BANK LIMITED
JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED
MTARTECH,MTAR TECHNOLOGIES LIMITED
ORIENTELEC,ORIENT ELECTRIC LIMITED
MANORAMA,MANORAMA INDUSTRIES LIMITED
MSTCLTD,MSTC LIMITED
PAISALO,PAISALO DIGITAL LIMITED
KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED
OPTIEMUS,OPTIEMUS INFRACOM LIMITED
ANUP,THE ANUP ENGINEERING LIMITED
EIEL,ENVIRO INFRA ENGINEERS LIMITED
BBL,BHARAT BIJLEE LIMITED
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED
MASFIN,MAS FINANCIAL SERVICES LIMITED
HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED
ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED
HERITGFOOD,HERITAGE FOODS LIMITED
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED
KSCL,KAVERI SEED COMPANY LIMITED
TEAMLEASE,TEAMLEASE SERVICES LIMITED
CARTRADE,CARTRADE TECH LIMITED
NEOGEN,NEOGEN CHEMICALS LIMITED
SKIPPER,SKIPPER LIMITED
GANECOS,GANESHA ECOSPHERE LIMITED
VRLLOG,VRL LOGISTICS LIMITED
AWFIS,AWFIS SPACE SOLUTIONS LIMITED
BOROLTD,BOROSIL LIMITED
GOPAL,GOPAL SNACKS LIMITED
UTKARSHBNK,UTKARSH SMALL FINANCE BANK LIMITED
REFEX,REFEX INDUSTRIES LIMITED
E2E,E2E NETWORKS LIMITED
WONDERLA,WONDERLA HOLIDAYS LIMITED
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED
BHARATRAS,BHARAT RASAYAN LIMITED
SHAILY,SHAILY ENGINEERING PLASTICS LIMITED
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED
UNICHEMLAB,UNICHEM LABORATORIES LIMITED
ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED
PATELENG,PATEL ENGINEERING LIMITED
YATHARTH,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED
NOCIL,NOCIL LIMITED
GATEWAY,GATEWAY DISTRIPARKS LIMITED
ROSSARI,ROSSARI BIOTECH LIMITED
JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED
SUPRIYA,SUPRIYA LIFESCIENCE LIMITED
AARTIDRUGS,AARTI DRUGS LIMITED
WEBELSOLAR,WEBSOL ENERGY SYSTEM LIMITED
JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED
THYROCARE,THYROCARE TECHNOLOGIES LIMITED
PITTIENG,PITTI ENGINEERING LIMITED
PGIL,PEARL GLOBAL INDUSTRIES LIMITED
RAMKY,RAMKY INFRASTRUCTURE LIMITED
JTEKTINDIA,JTEKT INDIA LIMITED
STYRENIX,STYRENIX PERFORMANCE MATERIALS LIMITED
HIKAL,HIKAL LIMITED
UFLEX,UFLEX LIMITED
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED
GREENPANEL,GREENPANEL INDUSTRIES LIMITED
SHANTIGEAR,SHANTHI GEARS LIMITED
SUBROS,SUBROS LIMITED
BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED
EMSLIMITED,EMS LIMITED
INNOVACAP,INNOVA CAPTAB LIMITED
MOBIKWIK,ONE MOBIKWIK SYSTEMS LIMITED
SUNCLAY,SUNDARAM CLAYTON LIMITED
JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED
GREENPLY,GREENPLY INDUSTRIES LIMITED
BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED
IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED
SEQUENT,SEQUENT SCIENTIFIC LIMITED
BANARISUG,BANNARI AMMAN SUGARS LIMITED
SAMHI,SAMHI HOTELS LIMITED
FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED
EXICOM,EXICOM TELE-SYSTEMS LIMITED
GREAVESCOT,GREAVES COTTON LIMITED
AVALON,AVALON TECHNOLOGIES LIMITED
LGBBROSLTD,LG BALAKRISHNAN & BROS LIMITED
MEDIASSIST,MEDI ASSIST HEALTHCARE SERVICES LIMITED
AVANTEL,AVANTEL LIMITED
SKYGOLD,SKY GOLD LIMITED
SUNFLAG,SUNFLAG IRON AND STEEL COMPANY LIMITED
FCL,FINEOTEX CHEMICAL LIMITED
MOREPENLAB,MOREPEN LABORATORIES LIMITED
NORTHARC,NORTHERN ARC CAPITAL LIMITED
VENUSPIPES,VENUS PIPES & TUBES LIMITED
V2RETAIL,V2 RETAIL LIMITED
GUFICBIO,GUFIC BIOSCIENCES LIMITED
JTLIND,JTL INDUSTRIES LIMITED
FIEMIND,FIEM INDUSTRIES LIMITED
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED
WSTCSTPAPR,WEST COAST PAPER MILLS LIMITED
IMFA,INDIAN METALS & FERRO ALLOYS LIMITED
TCIEXP,TCI EXPRESS LIMITED
KKCL,KEWAL KIRAN CLOTHING LIMITED
KPEL,K.P. ENERGY LIMITED
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED
SOTL,SAVITA OIL TECHNOLOGIES LIMITED
SULA,SULA VINEYARDS LIMITED
JNKINDIA,JNK INDIA LIMITED
DCBBANK,DCB BANK LIMITED
DCXINDIA,DCX SYSTEMS LIMITED
VSTTILLERS,V.S.T TILLERS TRACTORS LIMITED
INDIAGLYCO,INDIA GLYCOLS LIMITED
KSL,KALYANI STEELS LIMITED
KDDL,KDDL LIMITED
VEEDOL,VEEDOL CORPORATION LIMITED
SEPC,SEPC LIMITED
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED
LUMAXTECH,LUMAX AUTO TECHNOLOGIES LIMITED
POLYPLEX,POLYPLEX CORPORATION LIMITED
SWARAJENG,SWARAJ ENGINES LIMITED
HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED
KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED
LAOPALA,LA OPALA RG LIMITED
ARVSMART,ARVIND SMARTSPACES LIMITED
PARKHOTELS,APEEJAY SURRENDRA PARK HOTELS LIMITED
HGS,HINDUJA GLOBAL SOLUTIONS LIMITED
STYLAMIND,STYLAM INDUSTRIES LIMITED
HMT,HMT LIMITED
MPSLTD,MPS LIMITED
INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LIMITED
RPGLIFE,RPG LIFE SCIENCES LIMITED
SANGHVIMOV,SANGHVI MOVERS LIMITED
CARRARO,CARRARO INDIA LIMITED
BEPL,BHANSALI ENGINEERING POLYMERS LIMITED
JINDALPOLY,JINDAL POLY FILMS LIMITED
DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED
HPL,HPL ELECTRIC & POWER LIMITED
DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED
ALEMBICLTD,ALEMBIC LIMITED
HATHWAY,HATHWAY CABLE & DATACOM LIMITED
CARERATING,CARE RATINGS LIMITED
SHK,S H KELKAR AND COMPANY LIMITED
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED
SEAMECLTD,SEAMEC LIMITED
INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED
SERVOTECH,SERVOTECH POWER SYSTEMS LIMITED
ASHIANA,ASHIANA HOUSING LIMITED
SANDHAR,SANDHAR TECHNOLOGIES LIMITED
GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED
DPABHUSHAN,D. P. ABHUSHAN LIMITED
EPACK,EPACK DURABLE LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LIMITED
SSWL,STEEL STRIPS WHEELS LIMITED
QUICKHEAL,QUICK HEAL TECHNOLOGIES LIMITED
SGLTL,STANDARD GLASS LINING TECHNOLOGY LIMITED
NUCLEUS,NUCLEUS SOFTWARE EXPORTS LIMITED
DELTACORP,DELTA CORP LIMITED
NAVNETEDUL,NAVNEET EDUCATION LIMITED
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED
BFUTILITIE,BF UTILITIES LIMITED
MAHLOG,MAHINDRA LOGISTICS LIMITED
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED
VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED
MARINE,MARINE ELECTRICALS (INDIA) LIMITED
PRAKASH,PRAKASH INDUSTRIES LIMITED
GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED
GOODLUCK,GOODLUCK INDIA LIMITED
MAITHANALL,MAITHAN ALLOYS LIMITED
KITEX,KITEX GARMENTS LIMITED
SJS,S.J.S. ENTERPRISES LIMITED
PRECWIRE,PRECISION WIRES INDIA LIMITED
DCAL,DISHMAN CARBOGEN AMCIS LIMITED
FLAIR,FLAIR WRITING INDUSTRIES LIMITED
SANATHAN,SANATHAN TEXTILES LIMITED
TVSSRICHAK,TVS SRICHAKRA LIMITED
PFS,PTC INDIA FINANCIAL SERVICES LIMITED
SAKSOFT,SAKSOFT LIMITED
APOLLO,APOLLO MICRO SYSTEMS LIMITED
CAPACITE,CAPACITE INFRAPROJECTS LIMITED
REPCOHOME,REPCO HOME FINANCE LIMITED
MARATHON,MARATHON NEXTGEN REALTY LIMITED
INDOCO,INDOCO REMEDIES LIMITED
BAJEL,BAJEL PROJECTS LIMITED
KCP,KCP LIMITED
SURAJEST,SURAJ ESTATE DEVELOPERS LIMITED
ASHAPURMIN,ASHAPURA MINECHEM LIMITED
WENDT,WENDT (INDIA) LIMITED
GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED
JASH,JASH ENGINEERING LIMITED
POKARNA,POKARNA LIMITED
ADFFOODS,ADF FOODS LIMITED
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED
SALASAR,SALASAR TECHNO ENGINEERING LIMITED
FINOPB,FINO PAYMENTS BANK LIMITED
SAGCEM,SAGAR CEMENTS LIMITED
TASTYBITE,TASTY BITE EATABLES LIMITED
RPEL,RAGHAV PRODUCTIVITY ENHANCERS LIMITED
HINDOILEXP,HINDUSTAN OIL EXPLORATION COMPANY LIMITED
KOLTEPATIL,KOLTE - PATIL DEVELOPERS LIMITED
PREMEXPLN,PREMIER EXPLOSIVES LIMITED
SPECTRUM,SPECTRUM ELECTRICAL INDUSTRIES LIMITED
NRBBEARING,NRB BEARING LIMITED
DOLLAR,DOLLAR INDUSTRIES LIMITED
ORIENTHOT,ORIENTAL HOTELS LIMITED
SOMANYCERA,SOMANY CERAMICS LIMITED
IDEAFORGE,IDEAFORGE TECHNOLOGY LIMITED
FOSECOIND,FOSECO INDIA LIMITED
VADILALIND,VADILAL INDUSTRIES LIMITED
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED
HITECH,HI-TECH PIPES LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
GLOBUSSPR,GLOBUS SPIRITS LIMITED
GEPIL,GE POWER INDIA LIMITED
TCPLPACK,TCPL PACKAGING LIMITED
NILKAMAL,NILKAMAL LIMITED
ARKADE,ARKADE DEVELOPERS LIMITED
RAJRATAN,RAJRATAN GLOBAL WIRE LIMITED
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED
STANLEY,STANLEY LIFESTYLES LIMITED
VISHNU,VISHNU CHEMICALS LIMITED
THEJO,THEJO ENGINEERING LIMITED
SHALBY,SHALBY LIMITED
DEEPINDS,DEEP INDUSTRIES LIMITED
VENKEYS,VENKY'S (INDIA) LIMITED
HLEGLAS,HLE GLASCOAT LIMITED
DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED
VINDHYATEL,VINDHYA TELELINKS LIMITED
FILATEX,FILATEX INDIA LIMITED
SIYSIL,SIYARAM SILK MILLS LIMITED
MONARCH,MONARCH NETWORTH CAPITAL LIMITED
MAYURUNIQ,MAYUR UNIQUOTERS LIMITED
MMFL,MM FORGINGS LIMITED
HUHTAMAKI,HUHTAMAKI INDIA LIMITED
QPOWER,QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED
SMLISUZU,SML ISUZU LIMITED
VAKRANGEE,VAKRANGEE LIMITED
SASKEN,SASKEN TECHNOLOGIES LIMITED
KALAMANDIR,SAI SILKS (KALAMANDIR) LIMITED
RPTECH,RASHI PERIPHERALS LIMITED
HINDWAREAP,HINDWARE HOME INNOVATION LIMITED
PSPPROJECT,PSP PROJECTS LIMITED
KRSNAA,KRSNAA DIAGNOSTICS LIMITED
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED
XPROINDIA,XPRO INDIA LIMITED
LANDMARK,LANDMARK CARS LIMITED
SENORES,SENORES PHARMACEUTICALS LIMITED
STYLEBAAZA,BAAZAR STYLE RETAIL LIMITED
STOVEKRAFT,STOVE KRAFT LIMITED
SOLARA,SOLARA ACTIVE PHARMA SCIENCES LIMITED
DCW,DCW LIMITED
JYOTISTRUC,JYOTI STRUCTURES LIMITED
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED
PENIND,PENNAR INDUSTRIES LIMITED
SMSPHARMA,SMS PHARMACEUTICALS LIMITED
DOLATALGO,DOLAT ALGOTECH LIMITED
MANGLMCEM,MANGALAM CEMENT LIMITED
PRECAM,PRECISION CAMSHAFTS LIMITED
IOLCP,IOL CHEMICALS AND PHARMACEUTICALS LIMITED
INTERARCH,INTERARCH BUILDING PRODUCTS LIMITED
MOLDTKPAC,MOLD-TEK PACKAGING LIMITED
RAMRAT,RAM RATNA WIRES LIMITED
JUBLCPL,JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED
LUMAXIND,LUMAX INDUSTRIES LIMITED
INDIANHUME,INDIAN HUME PIPE COMPANY LIMITED
MANINDS,MAN INDUSTRIES (INDIA) LIMITED
UDS,UPDATER SERVICES LIMITED
INSECTICID,INSECTICIDES (INDIA) LIMITED
MOL,MEGHMANI ORGANICS LIMITED
THEMISMED,THEMIS MEDICARE LIMITED
