symbol,name
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED
PIXTRANS,PIX TRANSMISSIONS LIMITED
ECOSMOBLTY,ECOS (INDIA) MOBILITY & HOSPITALITY LIMITED
PARACABLES,PARAMOUNT COMMUNICATIONS LIMITED
DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED
INDOTECH,INDO TECH TRANSFORMERS LIMITED
TARSONS,TARSONS PRODUCTS LIMITED
DEN,DEN NETWORKS LIMITED
KMEW,KNOWLEDGE MARINE & ENGINEERING WORKS LIMITED
HMAAGRO,HMA AGRO INDUSTRIES LIMITED
PANAMAPET,PANAMA PETROCHEM LIMITED
NELCO,NELCO LIMITED
AEROFLEX,AEROFLEX INDUSTRIES LIMITED
MOTISONS,MOTISONS JEWELLERS LIMITED
PARAGMILK,PARAG MILK FOODS LIMITED
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LIMITED.
VIDHIING,VIDHI SPECIALTY FOOD INGREDIENTS LIMITED
IPL,INDIA PESTICIDES LIMITED
NITINSPIN,NITIN SPINNERS LIMITED
APOLLOPIPE,APOLLO PIPES LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
DIAMONDYD,PRATAAP SNACKS LIMITED
AXISCADES,AXISCADES TECHNOLOGIES LIMITED
UGROCAP,UGRO CAPITAL LIMITED
SANSTAR,SANSTAR LIMITED
ASTEC,ASTEC LIFESCIENCES LIMITED
RUPA,RUPA & COMPANY LIMITED
CUPID,CUPID LIMITED
UNIVCABLES,UNIVERSAL CABLES LIMITED
TATVA,TATVA CHINTAN PHARMA CHEM LIMITED
SPAL,S. P. APPARELS LIMITED
CENTUM,CENTUM ELECTRONICS LIMITED
CARYSIL,CARYSIL LIMITED
BARBEQUE,BARBEQUE NATION HOSPITALITY LIMITED
VSSL,VARDHMAN SPECIAL STEELS LIMITED
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED
RAMCOIND,RAMCO INDUSTRIES LIMITED
TIL,TIL LIMITED
MUKANDLTD,MUKAND LIMITED
JITFINFRA,JITF INFRALOGISTICS LIMITED
SANGHIIND,SANGHI INDUSTRIES LIMITED
NIITLTD,NIIT LIMITED
TTKHLTCARE,TTK HEALTHCARE LIMITED
IKIO,IKIO LIGHTING LIMITED
POCL,PONDY OXIDES & CHEMICALS LIMITED
PNBGILTS,PNB GILTS LIMITED
KIRIINDUS,KIRI INDUSTRIES LIMITED
DEEDEV,DEE DEVELOPMENT ENGINEERS LIMITED
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED
YASHO,YASHO INDUSTRIES LIMITED
COSMOFIRST,COSMO FIRST LIMITED
APCOTEXIND,APCOTEX INDUSTRIES LIMITED
SDBL,SOM DISTILLERIES & BREWERIES LIMITED
HESTERBIO,HESTER BIOSCIENCES LIMITED
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED
IGARASHI,IGARASHI MOTORS INDIA LIMITED
HUBTOWN,HUBTOWN LIMITED
PLATIND,PLATINUM INDUSTRIES LIMITED
ANDHRAPAP,ANDHRA PAPER LIMITED
CANTABIL,CANTABIL RETAIL INDIA LIMITED
GOCLCORP,GOCL CORPORATION LIMITED
SURAKSHA,SURAKSHA DIAGNOSTIC LIMITED
UNIPARTS,UNIPARTS INDIA LIMITED
BIRLANU,BIRLANU LIMITED
LAXMIDENTL,LAXMI DENTAL LIMITED
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED
BLKASHYAP,B. L. KASHYAP AND SONS LIMITED
DLINKINDIA,D-LINK (INDIA) LIMITED
SATIN,SATIN CREDITCARE NETWORK LIMITED
IFGLEXPOR,IFGL REFRACTORIES LIMITED
EKC,EVEREST KANTO CYLINDER LIMITED
ALICON,ALICON CASTALLOY LIMITED
SANGAMIND,SANGAM (INDIA) LIMITED
TAJGVK,TAJ GVK HOTELS & RESORTS LIMITED
TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LIMITED
UNIECOM,UNICOMMERCE ESOLUTIONS LIMITED
MICEL,MIC ELECTRONICS LIMITED
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED
BLSE,BLS E-SERVICES LIMITED
AWHCL,ANTONY WASTE HANDLING CELL LIMITED
JAGRAN,JAGRAN PRAKASHAN LIMITED
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED
HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED
MBAPL,MADHYA BHARAT AGRO PRODUCTS LIMITED
YATRA,YATRA ONLINE LIMITED
SHRIRAMPPS,SHRIRAM PROPERTIES LIMITED
VERTOZ,VERTOZ LIMITED
MASTERTR,MASTER TRUST LIMITED
WINDLAS,WINDLAS BIOTECH LIMITED
GMBREW,GM BREWERIES LIMITED
UDAICEMENT,UDAIPUR CEMENT WORKS LIMITED
WEL,WONDER ELECTRICALS LIMITED
STERTOOLS,STERLING TOOLS LIMITED
WHEELS,WHEELS INDIA LIMITED
RAMASTEEL,RAMA STEEL TUBES LIMITED
ROSSTECH,ROSSELL TECHSYS LIMITED
BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED
RELTD,RAVINDRA ENERGY LIMITED
GPTINFRA,GPT INFRAPROJECTS LIMITED
SIRCA,SIRCA PAINTS INDIA LIMITED
IGPL,IG PETROCHEMICALS LIMITED
SALZERELEC,SALZER ELECTRONICS LIMITED
GRPLTD,GRP LIMITED
ROTO,ROTO PUMPS LIMITED
SYNCOMF,SYNCOM FORMULATIONS (INDIA) LIMITED
SIGACHI,SIGACHI INDUSTRIES LIMITED
DPSCLTD,DPSC LIMITED
MUFIN,MUFIN GREEN FINANCE LIMITED
HERANBA,HERANBA INDUSTRIES LIMITED
EXCELINDUS,EXCEL INDUSTRIES LIMITED
GNA,GNA AXLES LIMITED
SUYOG,SUYOG TELEMATICS LIMITED
SURYODAY,SURYODAY SMALL FINANCE BANK LIMITED
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED
ATULAUTO,ATUL AUTO LIMITED
GTPL,GTPL HATHWAY LIMITED
SADHNANIQ,SADHANA NITROCHEM LIMITED
ADOR,ADOR WELDING LIMITED
PANACEABIO,PANACEA BIOTEC LIMITED
AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED
DSSL,DYNACONS SYSTEMS & SOLUTIONS LIMITED
GODAVARIB,GODAVARI BIOREFINERIES LIMITED
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
HIRECT,HIND RECTIFIERS LIMITED
SWELECTES,SWELECT ENERGY SYSTEMS LIMITED
DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED
WALCHANNAG,WALCHANDNAGAR INDUSTRIES LIMITED
IRMENERGY,IRM ENERGY LIMITED
BHARATWIRE,BHARAT WIRE ROPES LIMITED
PENINLAND,PENINSULA LAND LIMITED
INDNIPPON,INDIA NIPPON ELECTRICALS LIMITED
KOKUYOCMLN,KOKUYO CAMLIN LIMITED
ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED
MADRASFERT,MADRAS FERTILIZERS LIMITED
ZOTA,ZOTA HEALTH CARE LIMITED
BOROSCI,BOROSIL SCIENTIFIC LIMITED
SPIC,SOUTHERN PETROCHEMICALS INDUSTRIES CORPORATION  LIMITED
OAL,ORIENTAL AROMATICS LIMITED
NDRAUTO,NDR AUTO COMPONENTS LIMITED
HIMATSEIDE,HIMATSINGKA SEIDE LIMITED
HITECHGEAR,THE HI-TECH GEARS LIMITED
OMINFRAL,OM INFRA LIMITED
AMNPLST,AMINES & PLASTICIZERS LIMITED
MANGCHEFER,MANGALORE CHEMICALS & FERTILIZERS LIMITED
DYCL,DYNAMIC CABLES LIMITED
BCLIND,BCL INDUSTRIES LIMITED
RML,RANE (MADRAS) LIMITED
MSPL,MSP STEEL & POWER LIMITED
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LIMITED
EVERESTIND,EVEREST INDUSTRIES LIMITED
CEWATER,CONCORD ENVIRO SYSTEMS LIMITED
MONTECARLO,MONTE CARLO FASHIONS LIMITED
TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LIMITED
ALLDIGI,ALLDIGI TECH LIMITED
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED
SMCGLOBAL,SMC GLOBAL SECURITIES LIMITED
5PAISA,5PAISA CAPITAL LIMITED
MATRIMONY,MATRIMONY.COM LIMITED
YUKEN,YUKEN INDIA LIMITED
IMPAL,INDIA MOTOR PARTS AND ACCESSORIES LIMITED
LIKHITHA,LIKHITHA INFRASTRUCTURE LIMITED
KABRAEXTRU,KABRA EXTRUSION TECHNIK LIMITED
SUBEXLTD,SUBEX LIMITED
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED
SPORTKING,SPORTKING INDIA LIMITED
TBZ,TRIBHOVANDAS BHIMJI ZAVERI LIMITED
STEELCAS,STEELCAST LIMITED
WINDMACHIN,WINDSOR MACHINES LIMITED
VINCOFE,VINTAGE COFFEE AND BEVERAGES LIMITED
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITED
CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED
TNPL,TAMIL NADU NEWSPRINT & PAPERS LIMITED
RICOAUTO,RICO AUTO INDUSTRIES LIMITED
MAMATA,MAMATA MACHINERY LIMITED
RAMCOSYS,RAMCO SYSTEMS LIMITED
SHANKARA,SHANKARA BUILDING PRODUCTS LIMITED
ORIENTTECH,ORIENT TECHNOLOGIES LIMITED
PVSL,POPULAR VEHICLES AND SERVICES LIMITED
PUNJABCHEM,PUNJAB CHEMICALS & CROP PROTECTION LIMITED
ASIANENE,ASIAN ENERGY SERVICES LIMITED
GPTHEALTH,GPT HEALTHCARE LIMITED
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED
KRISHANA,KRISHANA PHOSCHEM LIMITED
AGIIL,AGI INFRA LIMITED
KELLTONTEC,KELLTON TECH SOLUTIONS LIMITED
JGCHEM,J.G.CHEMICALS LIMITED
RISHABH,RISHABH INSTRUMENTS LIMITED
ACLGATI,ALLCARGO GATI LIMITED
CENTENKA,CENTURY ENKA LIMITED
VIMTALABS,VIMTA LABS LIMITED
KAMDHENU,KAMDHENU LIMITED
VASCONEQ,VASCON ENGINEERS LIMITED
BESTAGRO,BEST AGROLIFE LIMITED
ADSL,ALLIED DIGITAL SERVICES LIMITED
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LIMITED
LINCOLN,LINCOLN PHARMACEUTICALS LIMITED
WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED
SIGNPOST,SIGNPOST INDIA LIMITED
ONEPOINT,ONE POINT ONE SOLUTIONS LIMITED
MACPOWER,MACPOWER CNC MACHINES LIMITED
HERCULES,HERCULES HOISTS LIMITED
TVTODAY,TV TODAY NETWORK LIMITED
MANALIPETC,MANALI PETROCHEMICALS LIMITED
CAPITALSFB,CAPITAL SMALL FINANCE BANK LIMITED
BLISSGVS,BLISS GVS PHARMA LIMITED
ESTER,ESTER INDUSTRIES LIMITED
WCIL,WESTERN CARRIERS (INDIA) LIMITED
CHEMFAB,CHEMFAB ALKALIS LIMITED
GRMOVER,GRM OVERSEAS LIMITED
SAURASHCEM,SAURASHTRA CEMENT LIMITED
RGL,RENAISSANCE GLOBAL LIMITED
KROSS,KROSS LIMITED
SPMLINFRA,SPML INFRA LIMITED
DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED
NGLFINE,NGL FINE-CHEM LIMITED
XCHANGING,XCHANGING SOLUTIONS LIMITED
KOPRAN,KOPRAN LIMITED
SELAN,SELAN EXPLORATION TECHNOLOGY LIMITED
MUKKA,MUKKA PROTEINS LIMITED
AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED
HLVLTD,HLV LIMITED
SATINDLTD,SAT INDUSTRIES LIMITED
AVTNPL,AVT NATURAL PRODUCTS LIMITED
PPL,PRAKASH PIPES LIMITED
DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED
SNOWMAN,SNOWMAN LOGISTICS LIMITED
RKSWAMY,R K SWAMY LIMITED
PDMJEPAPER,PUDUMJEE PAPER PRODUCTS LIMITED
GULPOLY,GULSHAN POLYOLS LIMITED
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LIMITED
INDOAMIN,INDO AMINES LIMITED
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED
CONTROLPR,CONTROL PRINT LIMITED
ELECTHERM,ELECTROTHERM (INDIA) LIMITED
OSWALGREEN,OSWAL GREENTECH LIMITED
STEELXIND,STEEL EXCHANGE INDIA LIMITED
KUANTUM,KUANTUM PAPERS LIMITED
GICHSGFIN,GIC HOUSING FINANCE LIMITED
GALAPREC,GALA PRECISION ENGINEERING LIMITED
UTTAMSUGAR,UTTAM SUGAR MILLS LIMITED
ICEMAKE,ICE MAKE REFRIGERATION LIMITED
HEUBACHIND,HEUBACH COLORANTS INDIA LIMITED
RADHIKAJWE,RADHIKA JEWELTECH LIMITED
DIFFNKG,DIFFUSION ENGINEERS LIMITED
KSOLVES,KSOLVES INDIA LIMITED
ARROWGREEN,ARROW GREENTECH LIMITED
MVGJL,MANOJ VAIBHAV GEMS N JEWELLERS LIMITED
MUFTI,CREDO BRANDS MARKETING LIMITED
PAKKA,PAKKA LIMITED
ROSSELLIND,ROSSELL INDIA LIMITED
CREATIVE,CREATIVE NEWTECH LIMITED
KOTHARIPET,KOTHARI PETROCHEMICALS LIMITED
APTECHT,APTECH LIMITED
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED
HARDWYN,HARDWYN INDIA LIMITED
SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH HYPO LIMITED
NELCAST,NELCAST LIMITED
SATIA,SATIA INDUSTRIES LIMITED
MUNJALAU,MUNJAL AUTO INDUSTRIES LIMITED
FAZE3Q,FAZE THREE LIMITED
ANUHPHR,ANUH PHARMA LIMITED
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED
ATL,ALLCARGO TERMINALS LIMITED
MAGADSUGAR,MAGADH SUGAR & ENERGY LIMITED
ELIN,ELIN ELECTRONICS LIMITED
JAYBARMARU,JAY BHARAT MARUTI LIMITED
GANESHBE,GANESH BENZOPLAST LIMITED
DHARMAJ,DHARMAJ CROP GUARD LIMITED
TREL,TRANSINDIA REAL ESTATE LIMITED
NAHARSPING,NAHAR SPINNING MILLS LIMITED
VALIANTORG,VALIANT ORGANICS LIMITED
INFOBEAN,INFOBEANS TECHNO. LIMITED
URJA,URJA GLOBAL LIMITED
KRYSTAL,KRYSTAL INTEGRATED SERVICES LIMITED
GANDHITUBE,GANDHI SPECIAL TUBES LIMITED
KAMOPAINTS,KAMDHENU VENTURES LIMITED
KRITI,KRITI INDUSTRIES (INDIA) LIMITED
ARIHANTCAP,ARIHANT CAPITAL MARKETS LIMITED
NINSYS,NINTEC SYSTEMS LIMITED
AYMSYNTEX,AYM SYNTEX LIMITED
NCLIND,NCL INDUSTRIES LIMITED
ENIL,ENTERTAINMENT NETWORK (INDIA) LIMITED
RSWM,RSWM LIMITED
ASIANTILES,ASIAN GRANITO INDIA LIMITED
BODALCHEM,BODAL CHEMICALS LIMITED
DHANBANK,DHANLAXMI BANK LIMITED
BIRLAMONEY,ADITYA BIRLA MONEY LIMITED
INNOVANA,INNOVANA THINKLABS LIMITED
GHCLTEXTIL,GHCL TEXTILES LIMITED
RATNAVEER,RATNAVEER PRECISION ENGINEERING LIMITED
SHIVALIK,SHIVALIK RASAYAN LIMITED
AMBIKCO,AMBIKA COTTON MILLS LIMITED
ROHLTD,ROYAL ORCHID HOTELS LIMITED
LINC,LINC LIMITED
20MICRONS,20 MICRONS LIMITED
RUSHIL,RUSHIL DECOR LIMITED
SBC,SBC EXPORTS LIMITED
RACLGEAR,RACL GEARTECH LIMITED
RITCO,RITCO LOGISTICS LIMITED
MINDTECK,MINDTECK (INDIA) LIMITED
CHEMCON,CHEMCON SPECIALITY CHEMICALS LIMITED
SARVESHWAR,SARVESHWAR FOODS LIMITED
FILATFASH,FILATEX FASHIONS LIMITED
ZODIAC,ZODIAC ENERGY LIMITED
SILVERTUC,SILVER TOUCH TECHNOLOGIES LIMITED
CSLFINANCE,CSL FINANCE LIMITED
MALLCOM,MALLCOM (INDIA) LIMITED
TRACXN,TRACXN TECHNOLOGIES LIMITED
GARUDA,GARUDA CONSTRUCTION AND ENGINEERING LIMITED
JAYAGROGN,JAYANT AGRO ORGANICS LIMITED
UGARSUGAR,THE UGAR SUGAR WORKS LIMITED
ELDEHSG,ELDECO HOUSING AND INDUSTRIES LIMITED
ZUARI,ZUARI AGRO CHEMICALS LIMITED
DBOL,DHAMPUR BIO ORGANICS LIMITED
BHAGERIA,BHAGERIA INDUSTRIES LIMITED
DECCANCE,DECCAN CEMENTS LIMITED
MMP,MMP INDUSTRIES LIMITED
ONWARDTEC,ONWARD TECHNOLOGIES LIMITED
RUBYMILLS,THE RUBY MILLS LIMITED
FOODSIN,FOODS & INNS LIMITED
DENTA,DENTA WATER AND INFRA SOLUTIONS LIMITED
RADIANTCMS,RADIANT CASH MANAGEMENT SERVICES LIMITED
REPRO,REPRO INDIA LIMITED
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED
GEECEE,GEECEE VENTURES LIMITED
GSLSU,GLOBAL SURFACES LIMITED
HPAL,HP ADHESIVES LIMITED
SUKHJITS,SUKHJIT STARCH & CHEMICALS LIMITED
MAANALU,MAAN ALUMINIUM LIMITED
GLOSTERLTD,GLOSTER LIMITED
LIBERTSHOE,LIBERTY SHOES LIMITED
NECLIFE,NECTAR LIFESCIENCES LIMITED
TPLPLASTEH,TPL PLASTECH LIMITED
SARLAPOLY,SARLA PERFORMANCE FIBERS LIMITED
FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED
TNPETRO,TAMILNADU PETROPRODUCTS LIMITED
CHEVIOT,CHEVIOT COMPANY LIMITED
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED
CHEMBOND,CHEMBOND CHEMICALS LIMITED
HINDCOMPOS,HINDUSTAN COMPOSITES LIMITED
SPECIALITY,SPECIALITY RESTAURANTS LIMITED
DENORA,DE NORA INDIA LIMITED
DBEIL,DEEPAK BUILDERS & ENGINEERS INDIA LIMITED
SURAJLTD,SURAJ LIMITED
APEX,APEX FROZEN FOODS LIMITED
INDOFARM,INDO FARM EQUIPMENT LIMITED
TOLINS,TOLINS TYRES LIMITED
MANBA,MANBA FINANCE LIMITED
NDL,NANDAN DENIM LIMITED
WANBURY,WANBURY LIMITED
VRAJ,VRAJ IRON AND STEEL LIMITED
INDSWFTLAB,IND-SWIFT LABORATORIES LIMITED
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LIMITED
PLASTIBLEN,PLASTIBLENDS INDIA LIMITED
BIRLACABLE,BIRLA CABLE LIMITED
RPPINFRA,R.P.P. INFRA PROJECTS LIMITED
EMAMIPAP,EMAMI PAPER MILLS LIMITED
RVTH,REVATHI EQUIPMENT INDIA LIMITED
NRL,NUPUR RECYCLERS LIMITED
MENONBE,MENON BEARINGS LIMITED
VINYLINDIA,VINYL CHEMICALS (INDIA) LIMITED
PYRAMID,PYRAMID TECHNOPLAST LIMITED
LOKESHMACH,LOKESH MACHINES LIMITED
ASHIMASYN,ASHIMA LIMITED
BEDMUTHA,BEDMUTHA INDUSTRIES LIMITED
HMVL,HINDUSTAN MEDIA VENTURES LIMITED
SAKAR,SAKAR HEALTHCARE LIMITED
GOACARBON,GOA CARBON LIMITED
KHADIM,KHADIM INDIA LIMITED
MBLINFRA,MBL INFRASTRUCTURE LIMITED
NAHARPOLY,NAHAR POLY FILMS LIMITED
RBZJEWEL,RBZ JEWELLERS LIMITED
NRAIL,N R AGARWAL INDUSTRIES LIMITED
KRITINUT,KRITI NUTRIENTS LIMITED
DONEAR,DONEAR INDUSTRIES LIMITED
RSSOFTWARE,R. S. SOFTWARE (INDIA) LIMITED
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LIMITED
SKMEGGPROD,SKM EGG PRODUCTS EXPORT (INDIA) LIMITED
STALLION,STALLION INDIA FLUOROCHEMICALS LIMITED
CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LIMITED
IRIS,IRIS BUSINESS SERVICES LIMITED
MOLDTECH,MOLD-TEK TECHNOLOGIES LIMITED
RACE,RACE ECO CHAIN LIMITED
DAVANGERE,DAVANGERE SUGAR COMPANY LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
ALANKIT,ALANKIT LIMITED
SREEL,SREELEATHERS LIMITED
INDOBORAX,INDO BORAX & CHEMICALS LIMITED
MUNJALSHOW,MUNJAL SHOWA LIMITED
SRM,SRM CONTRACTORS LIMITED
NOVAAGRI,NOVA AGRITECH LIMITED
KRONOX,KRONOX LAB SCIENCES LIMITED
IZMO,IZMO LIMITED
REMSONSIND,REMSONS INDUSTRIES LIMITED
DPWIRES,D P WIRES LIMITED
VIKASECO,VIKAS ECOTECH LIMITED
PAVNAIND,PAVNA INDUSTRIES LIMITED
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LIMITED
AVG,AVG LOGISTICS LIMITED
DICIND,DIC INDIA LIMITED
TARACHAND,TARA CHAND INFRALOGISTIC SOLUTIONS LIMITED
MANAKSIA,MANAKSIA LIMITED
BALAJEE,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED
MEDICAMEQ,MEDICAMEN BIOTECH LIMITED
PRECOT,PRECOT LIMITED
ORIENTCER,ORIENT CERATECH LIMITED
XTGLOBAL,XTGLOBAL INFOTECH LIMITED
AARTISURF,AARTI SURFACTANTS LIMITED
BPL,BPL LIMITED
KAMATHOTEL,KAMAT HOTELS (I) LIMITED
SSDL,SARASWATI SAREE DEPOT LIMITED
MUTHOOTCAP,MUTHOOT CAPITAL SERVICES LIMITED
KCPSUGIND,KCP SUGAR AND INDUSTRIES CORPORATION LIMITED
INDOUS,INDO US BIOTECH LIMITED
KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LIMITED
PREMIERPOL,PREMIER POLYFILM LIMITED
INTLCONV,INTERNATIONAL CONVEYORS LIMITED
IRISDOREME,IRIS CLOTHINGS LIMITED
MODISONLTD,MODISON LIMITED
BALAXI,BALAXI PHARMACEUTICALS LIMITED
3IINFOLTD,3I INFOTECH LIMITED
MAZDA,MAZDA LIMITED
ZIMLAB,ZIM LABORATORIES LIMITED
KILITCH,KILITCH DRUGS (INDIA) LIMITED
GEEKAYWIRE,GEEKAY WIRES LIMITED
DIAMINESQ,DIAMINES & CHEMICALS LIMITED
SINCLAIR,SINCLAIRS HOTELS LIMITED
AXITA,AXITA COTTON LIMITED
ASAHISONG,ASAHI SONGWON COLORS LIMITED
TRF,TRF LIMITED
IFBAGRO,IFB AGRO INDUSTRIES LIMITED
UYFINCORP,U. Y. FINCORP LIMITED
APCL,ANJANI PORTLAND CEMENT LIMITED
SADBHAV,SADBHAV ENGINEERING LIMITED
SRD,SHANKAR LAL RAMPAL DYE-CHEM LIMITED
VALIANTLAB,VALIANT LABORATORIES LIMITED
TEMBO,TEMBO GLOBAL INDUSTRIES LIMITED
ORIENTBELL,ORIENT BELL LIMITED
NILAINFRA,NILA INFRASTRUCTURES LIMITED
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED
BANSWRAS,BANSWARA SYNTEX LIMITED
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED
ELGIRUBCO,ELGI RUBBER COMPANY LIMITED
UNIDT,UNITED DRILLING TOOLS LIMITED
RADIOCITY,MUSIC BROADCAST LIMITED
ORBTEXP,ORBIT EXPORTS LIMITED
LYKALABS,LYKA LABS LIMITED
SRGHFL,SRG HOUSING FINANCE LIMITED
AUTOIND,AUTOLINE INDUSTRIES LIMITED
DYNPRO,DYNEMIC PRODUCTS LIMITED
KAPSTON,KAPSTON SERVICES LIMITED
OCCLLTD,OCCL LIMITED
DCI,DC INFOTECH AND COMMUNICATION LIMITED
HARRMALAYA,HARRISONS  MALAYALAM LIMITED
NILASPACES,NILA SPACES LIMITED
VSTL,VIBHOR STEEL TUBES LIMITED
VARDHACRLC,VARDHMAN ACRYLICS LIMITED
BBTCL,B&B TRIPLEWALL CONTAINERS LIMITED
EIFFL,EURO INDIA FRESH FOODS LIMITED
VENUSREM,VENUS REMEDIES LIMITED
VIESL,VISION INFRA EQUIPMENT SOLUTIONS LIMITED
RUBFILA,RUBFILA INTERNATIONAL LIMITED
SHREERAMA,SHREE RAMA MULTI-TECH LIMITED
KOTARISUG,KOTHARI SUGARS AND CHEMICALS LIMITED
PRITIKAUTO,PRITIKA AUTO INDUSTRIES LIMITED
SAKHTISUG,SAKTHI SUGARS LIMITED
MAWANASUG,MAWANA SUGARS LIMITED
AIRAN,AIRAN LIMITED
PODDARMENT,PODDAR PIGMENTS LIMITED
NIPPOBATRY,INDO-NATIONAL LIMITED
MANORG,MANGALAM ORGANICS LIMITED
KRITIKA,KRITIKA WIRES LIMITED
SCODATUBES,SKODA TUBES LIMITED
PROSTARM,PROSTARM INFO SYSTEMS LIMITED
AEGISVOPAK,AEGIS VOPAK TERMINALS LIMITED
THELEELA,LEELA HOTELS LIMITED
BORANA,BORANA WEAVES LIMITED
BELRISE,BELRISE INDUSTRIES LIMITED
